اَنوشا	جاویدانبرگشتبهلیست
فراتاگون	نامدخترآرتان،برادرداریوشبزرگ
فراچهر	مرکبازفرا(بالاتر)+چهر(صورت)=آنکهصورتیزیباترازدیگراندارد.
فرارنگ	فرانک،پروانه،ازشخصیتهایشاهنامه،ناممادرفریدونپادشاهپیشدادیوهمسرآبتین
فرازنده	بالابرندهوافرازنده
فرانک	پروانه،ازشخصیتهایشاهنامه،نامدختربرزینوزنبهرامگور،
فرانه	فرانک
فرآذر	شکوهآتش
فربو	مرکبازفر(شکوه)+بو=بووعطرشکوهومنزلت
فرپرک	شبپرهکهآنرامرغعیسینیزمینامند.
فرتوک	پرستو
فرجهان	شکوهدنیا
فرخ	اسمدخترانهوپسرانهبهمعنیخجسته،مبارک،فرخنده،نامیکیازمرزبانانخسروپرویزپادشاهساسانی
فرخبانو	بانویبزرگواروفرخنده
فرخبخش	بخشندهبزرگوار،نامیکیازبهدینانیزدکهدرسالهشتادوهشتیزگردیمیزیستهاست.
فرختاج	فرخ(فارسی)+تاج(فارسی)مرکبازفرخ(مبارک)+تاج
فرخچهر	دارایچهرهفرخندهومبارک
فرخماه	ماهخجستهومبارک
فرخناز	ازنامهایبرگزیده
فرخنده	مبارک،پرارج
فرخندهچهر	دارایچهرهمبارکوخجسته
فردخت	مرکبازفر(شکوه)+دخت(دختر)
فردوس	ازاسامیدخترانهبهمعنیپردیس،یهشت
فردیس	پردیس،بهشت
فرزان	ازنامهایبرگزیده
فرزاندخت	دخترفرزانهودانا
فرزانه	گرامی،ارجمند
فرسیما	فر(فارسی)بهمعنایشکوه+سیما(عربی)،آنکهصورتیباشکوهدارد.
فرشته	موجودیآسمانی
فرشته	ازنامهایبرگزیده
فرگون	مانندروشنایی
فرمهر	کسیکهشکوهوعظمتیچونخورشیددارد.
فرناز	ازنامهایبرگزیده
فرنگیس	نامدخترافراسیاب،زنسیاوش،مادرشاهکیخسروکیانی
فرنوش	ازنامهایبرگزیده
فرنوشا	شکوهوعظمتابدیریشه
فرنی	بسیار،افزونوفروزان
فرنیا	دارندهاصلونسب
فرنیار	اصیل،دارندهاصلونسب
فرنیان	پرنیان،ابریشموحریر،دختریکهدارایجسمیبسیارلطیفوزیباست.
فروردین	نخستینماههرسال
فروزان	نورانی،شعلهور
فروزش	روشن
فروزنده	ازنامهایبرگزیده
فروغ	روشنایی،تابش
فروغبانو	ازنامهایبرگزیده
فریال	دارایانداموهیکلباشکوه،قویوباشکوه،مرکبازفر(شکوه)+یال(گردن،بالایبازو)
فریبا	فریبنده
فریسا	پریسا،زیباچونپری
فریماه	ازنامهایبرگزیده
فرین	نامیکیازدختراناشوزرتشت
فریناز	ازنام‌هایبرگزیده
فصیحه	فصیحوگویا،بانویفهمیده
فلامک	الماسگلیرنگ
فلورا	فلوریا،دررمباستان،الههگلهاوبارآوری
فهیمه	فهیم
فیروزه	نامسنگیقیمتیبهرنگآبییاسبز
فیروزه	نگینانگشتر
قُدسی	مربوطبهعالمبالا،مربوطبهعالممجردات،ملکوتی؛(بهمجاز)فرشته
قُدسیه	مؤنثقدسی
قاصدک	گلپیامرسان
قاصدک	گلقاصدک
قاهره	مؤنثقاهر،نامپایتختمصر
قدسی	مقدس،فرشته
قدیره	مؤنثقدیر،توانا
قشنگ	زیبا،خوشگل
قشنگگل	گلزیبا،دختریکهچهرهاشمثلگلزیباولطیفاست.
قصیده	نامیکیازقالبهایشعرفارسیوعربی
قصیده	نامیکیازقالب‌هایشعرفارسیوعربی
قطره	مقدارکمیازمایعکهازجاییبچکد،چکه
قمر	ماه؛جِرمآسمانیکهدورسیاره‌ایبچرخد؛(بهمجاز)زنزیباروی
قمرالزمان	ماهدوران؛نامیکیازشخصیت‌هایهزارویکشب
قمرالملوک	آنکهمیانپادشاهانچونماهمی‌درخشد.
قمرتاج	تاجماه
قمرسیما	ویژگیآنکهچهره‌اشمثلماهمیباشد؛(بهمجاز)زیبارو
قمرناز	ماهناز،آنکهچونماهزیباست.

کُنیا	دختریکهازدواجنکردهاستبرگشتبهلیست
کاترینا	کاترین،بهمعنیپاکوبیآلایش
کارولین	نامناحیهایدرآمریکایشمالی
کاس	اسمزیبایشمالیبهمعنیدخترچشمآبی
کاساندان	همسرکورشبزرگ
کاساندان	نامزنکوروشبزرگومادرکمبوجیه
کاشین	ناممحلهدرشمالایلام
کامدل	ازنامهایبرگزیده
کامروا	خوشبخت،خرسند
کامله	مؤنثکامل،بینقص،بیعیب
کاملیا	گلیدرشتوزیباسفیدوصورتیرنگکهدربهارظاهرمیشود.
کامه	خواسته،آرزو،مراد،هدف،خواهش
کامیشا	خوشحال،سرزنده،خوشبیان،ترکیبمغلوبوتغییریافته“شادکام”
کامیلا	محافظمعبد،نامدختریجنگجودرافسانهتروااسمدختر
کاناز	چوبریشهخوشهخرما،اسماصیلایرانی
کانی	چشمهآب،کنایهازتازگیونشاطوطراوتاست.
کاویش	پیمانهشیر
کبرا	کبری،بزرگ،کبیر
کبریا	بزرگیوعظمت
کبریا	بزرگی،عظمت
کبیتا	نوعیشیرینی
کتایون	دخترقیصرروموزنگشتاسبومادراسفندیار
کتایون	کسایون،اسمیکیازدخترانقیصررومونیزهمسرگشتاسپپادشاهکیانی.
کرا	اسمهمسرمولاناجلالالدینبلخی
کرامت	بزرگواری،شرافت،سخاوت،بخشندگی
کرانه	ساحل،گوشه،کنار،سو،جهت
کردیا	دخترکرد
کرشمه	نازوغمزه،نامنواییدرموسیقی
کریمه	مؤنثکریم،بخشنده،سخاوتمند
کژال	غزال،دختریباچشمانزیبا
کشور	سرزمینیدارایمرزهایمشخصکهازسایرسرزمینهاجداشدهاست.
کشوربانو	ازنامهایبرگزیده
کلارا	چشممردمکچشم
کلاله	بخشیازگلکهبرایجذبدانههایگرده،نگهداشتنورویاندنآنهاوتولیدمیوهاست،زلف،کاکل
کلثوم	اسمیکیازدخترانحضرتعلی(ع)
کمانه	منسوببهکمان
کمند	آنچهبهوسیلهآنکسیراگرفتارمیکنند
کمند	دام،کنایهازگیسو
کوثر	نامچشمه‌ایدربهشت،نامسورهایدرقرآنکریم
کوچیار	یارکوتاهقد(نگارشکردی
کوشانه	دخترساعی،بانویتلاشکر
کوشک	کاخ،قصر،اسمدخترایرج(پسرفریدونپادشاهپیشدادی)
کوکب	ستاره،گلیزینتیودرشتوپُرپَربهرنگهایارغوانی،سفید،قرمز،زردیابنفش
کوکبه	شکوه،جلال
کوهینه	پونه
کهربا	نامصمغیسختشدهوزردرنگکهخاصیتجاذبهدارد.
کهسار	کوهسار،جاییکهدارایکوههایمتعدداست.
کیآفرید	مرکبازکی(پادشاه)+آفرید(آفریده)=کسیکهشاهآفریدهشده.
کیآفرین	آفرینندهپادشاه
کیبانو	ازنامهایبرگزیده
کیدخت	دخترپادشاه
کیادخت	دخترپادشاه
کیارا	اندوهوملالت،میلشدیدبهخوردنانواعخوردنیجات
کیارنگ	ازنامهایبرگزیده
کیانبانو	ملکه
کیاندخت	دختریازنسلشاهان،شاهزاده
کیانا	برخواستهازنسلکیانیان
کیانا	طبیعت،اهلهرچیز
کیانبانو	ازنامهایبرگزیده
کیاندخت	ازنامهایبرگزیده
کیانه	منسوببهکیان،پادشاهی
کیجا	دختر
کیجانا	دخترمازندرانیکهعزیزودوستداشتنیاست.
کیسر	ازنامهایبرگزیده
کیمیا	ازاسامیدخترانهبهمعنیاکسیر،هرچیزنایابودستنیافتنی،افسون
کیناز	بهکسرکاف،موجبافتخارپادشاه،دختریکهپادشاهنازکشاوست
کیوانبانو	ازنامهایبرگزیده
کیواندخت	مرکبازکیوان(نامستاره‌ای)+دخت(دختر)
کیوانچهر	ازنامهایبرگزیده
کیواندخت	ازنامهایبرگزیده
کیوانرخ	ازنامهایبرگزیده
کیوانزاد	ازنامهایبرگزیده
کیهاندخت	مرکبازکیهان(دنیا)+دخت(دختر)
کیهانه	کیهان،جهانهستی،دنیا،گیتی
گُلان	منسوببهگل؛گلها؛(بهمجاز)زیباروولطیف
گرامیدخت	گرامی+دختر=دخترعزیزومحترم
گراناز	گرانناز
گرانمهر	آنکهمهرومحبتبسیاردارد،بسیارمهربان.
گرانناز	دارایناز،کرشمهوغمزه‌یفراوان؛دارنده‌یقشنگیوزیباییزیاد؛جذابوخوشایند
گردآفرید	دخترجنگاورایرانیکهدردژسپیددرمرزایرانوتورانباسهرابجنگید،فرزندگژدهم
گردآفرین	گُردآفرید
گردیا	بکیازشخصیتهایشاهنامه
گردیه	ازشخصیتهایشاهنامهفردوسی،نامخواهربهرامچوبین(سردارساسانی)
گشتا	بهشت،پردیس
گشین	(گش=خوب،خوش،بانازراهرفتن+ین(پسوندنسبت))،(بهمجاز)زیباودوستداشتنی.
گلافروز	مرکبازگل+افروز(افروزنده)
گلافشان	افشاننده‌یگلیاریزنده‌یگل،گلفشان
گلاندام	دارایپیکرظریفوزیباهمانندگل
گلآذین	زینتگل،آرایشگل،چگونگیقرارگرفتنگل‌هابررویساقه
گلآرا	زینتدهندهگل،ازشخصیتهایشاهنامه،ناممادرروشنکبنابهبعضینسخههایشاهنامه
گلآسا	مانندگل
گلآور	(گل+آور(جزءپسین)=آورنده،دارنده)،گلآورنده،گلدارنده؛(بهمجاز)زیباوباطراوت
گلآویز	مرکبازگل+آویز(آویختهشده)
گلبهار	گلیکهدربهارشکفتهمی‌شود،شکوفهگل
گلپر	دانهمعطریبهشکلپولکهایزردکوچککهداروییاست.
گلپرست	دوستدارگل
گلپری	زیباچونگلوپری
گلپناه	پناهگل
گلتاج	تاجیپرازگل
گلجهان	گلجهان،بهترینوزیباترینگلدرجهان
گلدانه	دانهگل
گلشید	گلیکهچونخورشیدمیدرخشد
گلاب	مایعخوشبوییکهازتقطیرگلسرخوآببهدستمی‌آید.
گلابتون	رشته‌هاینازکطلاونقرهکههمرهتارهایابریشمدرزریبافیبهکارمی‌رود.
گلاره	مردمکچشم،حبهانگور
گلاره	چشمان
گلاسا	مانندگل،مرکبازگلوپسوندمشابهت
گلاله	کاکلمجعد،مویپیچیده
گلبَر	آنکهآغوششچونگللطیفونازکاست؛گونه‌ایازگلها
گلباران	برایتمجیدواحترامزیاداستفادهمی‌شود.
گلبان	نگهدارندهومحافظ،ناممادرابرانواسشاعرایرانیقرندوم
گلبانو	بانوییزیباچونگل
گلبخت	(گل+بخت=سرنوشت،طالع)،(بهمجاز)زیباولطیفودوستداشتنی.
گلبر	آنکهسینهوآغوششچونگللطیفونازکاست.
گلبرگ	هریکازاجزایپوششیگل،چهرهورخسار
گلبن	بوتهیادرختگل
گلبو	ازشخصیتهایشاهنامه،نامدلاوریایرانیازهمراهانرستمهرمزانپادشاهساسانی
گلبوته	بوتهگل
گلبهار	گلفصلبهار
گلبیز	گلافشان،گلریز،معطر،خوشبو
گلپاد	نگهبانگل
گلپاره	قطعه‌یگل،تکهیگل؛(بهمجاز)زیباوباطراوت
گلپر	دانه‌یمعطریبهشکلپولک‌هایزردکوچک
گلپری	گل+پری=(بهمجاز)زیبارویودارایاندامظریف،
گلپسند	زیبارویموردپسند
گلپونه	گلهایکوچکمعطربهرنگصورتییابنفش،پونهجوانوتازه
گل‌پیکر	ویژگیآنکهپیکرشمثلگلزیباولطیفاست،گلاندام
گلدانه	دانهیکهباعثطراوتگلمیشود
گلدخت	دخترِگل،دخترِدارایصفاتگل
گلدیس	چونگل،مانندگُل؛(بهمجاز)زیباروولطیف
گلرخ	زیبارو،دختریکهچهرهایزیباچونگلدارد
گلرخ	زیبارودختریکهچهره‌ایزیباچونگلدارد.
گلرنگ	بهرنگگل
گلسا	گلسان،مانندگل
گلسان	گلسا،مانندگل
گلشن	باغگل
گلمهر	(گل+مهر=خورشید)،(بهمجاز)آفتاب،گلخورشید،گلآفتاب،گلآفتابگردان
گلنار	گلانار،بهزیباییگل
گلناز	داراینازوعشوهایچونگل
گلنوش	مرکبازگل+نوش(عسل)،نامیکیازلحنهایقدیمموسیقیایرانی
گلوریا	باشکوه،سرفراز
گلی	رنگقرمزگلرز
گندم	دانهخوراکیغنیازنشاسته
گهرناز	گوهرناز
گیتا	گیتی
گیتا	نوعیآهنگ
گیتی	جهان،عالم
گیتیناز	آنکهموجبفخرومباهاتجهاناست.
گیسو	مویبلندسر
گیلدا	طلا
گیلنار	ترکیبازگیل(گیلک)+نار(انار)
گیهان	کیهان،جهان،دنیا،گیتی
دختربچهزیبا

لَچَک	دستمالسهگوشبرگشتبهلیست
لادن	معربازیونانی،گلزینتیبهرنگزرد،قرمز،یانارنجی
لاریسا	نوعیسکهزینتیکهدرفارسضریمیشد
لاله	گلیبهشکلجاموسرخرنگ،گونهسرخوگلگون
لاله	گلیبهشکلجاموسرخرنگ،گونهسرخوگلگون
لالهچهر	آنکهچهرهوصورتیسروزیباچونگللالهدارد.
لالهدخت	مرکبازلاله(گلی)+دخت(دختر)
لالهرخ	لالهچهر،آنکهچهرهوصورتیسرخوزیباچونگللالهدارد.
لالهرخسار	لالهچهر،کسیکهصورتشزیباچونگللالهاست.
لالهرو	لالهچهر،آنکهصورتیزیبابهمثالگللالهدارد.
لالهزار	زمینیکهدرآنلالهفراوانروییدهاست.ناماصیلفارسی
لالهگون	همچونلاله
لالهوش	مانندلاله
لامیا	شهرینزدیکخلیجلامیا
لاون	نامجاییدرشاهنامه
لاوین	نوازشگر،آوازخواندنهمراهبانوازش
لایه	پوشش،نامزنیدررمانباغبلور
لبخند	احساسشادیبرلبان
لبخنده	لبخند
لبینا	نامیکیازلحنهایقدیمموسیقیایرانی
لتکا	باغ،باغچه
لطیفه	مؤنثلطیف
لعبت	زنزیبارویوخوشاندام،عروسک،بازیچه
لعل	معربازفارسی،لال،نامسنگیقیمتیبهرنگقرمز،گاهیسبزوزردتاسیاه
لعیا	نامزنحضرتیعقوب
لمیا	زنسیاهوگندمگون
لمیس	زنیباپوستنازکولطیف
لنا	نصیبوبهره
لنیا	(فارسی-سنسکریت)دخترملیح،نمکین،مرکبازلن(سنسکریت)+ینسبت(فارسی)+الف
لوتوس	گلنیلوفرآبییاسوسنشرقی،
لورا	نامسازیاست،چنگ.نامیکیازصورتهایفلکیشمالی
لؤلؤ	مروارید
لیا	دختربزرگ‘لابان’کهیعقوبِپیامبرویرابههمسریقبولکرد–خجسته،نامهمسریعقوب(ع)
لیا	خجسته،نامهمسریعقوب(ع)
لیالی	شب‌ها
لیان	درخشنده،نامروستاییدرنزدیکیبوشهر
لیانا	بانویدرخشانوزیباروی،مرکبازلیانبهمعنایدرخشانوالفتأنیث
لیدا	مهسان–مهسیما–مهسو-مهرشید
لیزا	بندهخالصخداوند
لیسا	نامروستاییدرنزدیکیقزوین
لیلا	شبطولانیوبسیارتاریک
لیلا	لیلی
لیلی	شبدراز،نامیکیازلحنهایقدیمموسیقیایرانی
لیلیا	شب،همریشهبا”لیل”عربیاست.
لیمو	میوهخوردنی،ترشیاشیرین،معطروزردرنگ
لینا	آبشارکوچک
لیندا	قشنگ،زیبا
لیو	خورشید،آفتاب
لئا	بهسویخدا،دختریکهروبهسویخدادارد.
مَهدیس	مانندماه؛(بهمجاز)زیباروبرگشتبهلیست
مَشیانه	نخستینآفریده،نامنخستینزن(حوا)
مَهرو	ماهرو،(بهمجاز)زیبارو
مَهگل	(مَه=ماه+گل)،گلِماه؛(بهمجاز)زیبارو
مُوژان	چشمخماروپرکرشمه،غنچهنرگس
مُهیمِن	آگاهبهحاضروغایب؛ازنامهاوصفاتخدا
مِهرسا	(مهر=خورشید+سا(پسوندشباهت))،مثلخورشید؛(بهمجاز)زیبارو
مِهرنیا	(مهر=مهربانی،محبت+نیا)،ازنژادِمهربانان؛(بهمجاز)مهربانوبامحبت
ماتیسا	ماهتیسا،درگویشمازندرانماهتنها
ماتینا	نامساتراپنشینولایتتحتامرحاکمباوالیدردورانهخامنشی
ماجان	مانندماه
مادیار	یاوروکمککنندهمادر،مددکاربرایمادر
مارال	گوزن،آهو
مارتا	فناپذیر،دنیایی
مریم	انگلیسیازعبری،مریم
مارینا	دارندهیهرچیزارزشمند،جویبار،آب
مالیندا	صالح,جدی,شاد
مامَک	مادر؛خطابمحبتآمیزبهفرزنددختر؛زنپیر
مانِلی	درگویشمازندرانبمانبرایم،نامیدخترانهدرشمالایران،نامپسریدرشعریازنیمایوشیج
مانا	ماندنی،پایدار؛(درپهلوی)مانندومانندبودن
مانترَه	سخنمنشانگیزومقدس،کلاماندیشهبرانگیز
ماندانا	عنبرسیاه،نامدخترپادشاهمادومادرکورش
ماندگار	کسیکهدرجاییاقامت(دایمیوطولانی)کند،پایدار،بادوام،ماندنی.
مانلی	مازندرانی(بمانبرایم)
مانیا	خانهوسرایامن
مانیا	خانه،سرای،معربازیونانی،دیوانگی،جنون
ماه	بسیارخوبودوستداشتنی
ماهآفرید	آفریده‌یماه؛زیبارو
ماهبانو	زنیکهچونماهمی‌درخشد
ماهپسند	قبولشونده،پسندیده،(بهمجاز)زیبارویچونماه
ماهپیکر	معشوقِزیبا
ماهجهان	زیبایجهان
ماهدیس	همچونماه
ماهرخسار	ماهچهر
ماهسمین	ماه
ماهگل	گلِماه؛(بهمجاز)زیبارو
ماهانا	ماهان+ا(پسوندنسبت))منسوببهماهان
ماهپری	بسیارزیبا
ماهتاب	پرتوماه،شعاعماه،نورماه،مهتاب
ماهتابان	زیبارو
ماهدخت	دخترماه،دختریکهمانندماهاست؛(بهمجاز)زیبارو
ماهرُخ	خوشگل،زیبا
ماهرخ	کسیکهچهرهایمانندماهدارد
ماهرو	آنکهچهره‌ایهمچونماهدارد،‌زیبارو
ماهک	خوبرویکوچک،معشوقکزیبارویویاخوبرویدوستداشتنی
ماهناز	(ماه+ناز=قشنگ،زیبا)ماهرویزیبا
ماهنگار	(ماه+نگار=معشوق)(بهمجاز)معشوقه‌یزیبارو
ماهنوش	ماهجاویدانوهمیشگی؛(بهمجاز)زیبارویهمیشهزیبا
ماهوَر	(ماه+وَر(پسونددارندگی))،زیبارو
ماهوار	مانندماه
ماهوش	مهوش،مانندماه؛(بهمجاز)رعناوزیباومعشوقه،زیباودرخشان
ماهین	(ماه+ین(پسوندنسبت))،منسوببهماه؛(بهمجاز)زیبارو
مایا	منشنیک،بخشنده؛(دررومباستان)اِلههیفراوانیسبزهوبهاردرنزدرومیان
مایسا	نامگیاهیکوچکویکسالهکهبسیارظریفاست.
مائده	خوردنی،طعام،نامسورهایدرقرآنکریم
مبینا	آشکاروروشن،ازاسامیکلاموحی
متینا	دخترمتینوباوقار
محدثه	مؤنثمحدث،گویندهسخن
محنا	ﺑﻪﺣﻨﺎﺧﺿﺎﺏﮐﺮدﻩ،بهضممیموفتححوتشدیدنون
محیا	یکیازصفاتخدا،زندهوپویا
محیصا	رستگارشده،پاکوآمرزیده(بهفتحمیم).
مرجان	ازگیاهاندریایی
مرسا	استواروثابت
مرسانا	هدیهخداوند
مرسده	زیبا،باطراوتوخرم
مرمر	سنگخوشرنگوقیمتی
مرمرین	ساختهشدهازمرمریاازجنسمرمر
مروا	فالنیکودعایخیر
مروارید	در،سنگیارزشمندوقیمتی
مروارید	گوهرباارزشدریایی
مژان	نرگسنیمهشکفته
مژده	خبرخوشوشادیبخش،بشارت
مژگان	مژه‌ها،چشمپوش
مستانه	سرخوشوشاد
مستوره	پنهان،پوشیده
مشکات	(قدیم)چراغدان،ازواژههایقرآنی،مکاننورانی–طاقیبلندکهچراغرادرآنگذارند
معینا	منسوببهمعین،یاریگر،کمککننده
ملودی	توالیتعدادیازاصواتدرموسیقی
ملیسا	زمانیبینمغربونمازعشا؛ماهصَفر؛ماهیبینآخرگرماوزمستان
ملیکا	اسمرومی،مادراماممهدی
ملیکه	زنصاحبومالکمنیبا
منیژه	خواهرفرنگیس،دخترافراسیاب
موژان	پرکرشمه،خمار،گلنرگشنیمشکفته
مونا	تک،یکتا،درمتونایرانباستانبهمُحبَّتهممعناشدهاست،گلیاس،امید
مهپیکر	آنکهپیکرشچونماهزیباودلانگیزاست
مهدخت	دختریکهمانندماهاست
مهسیما	ماهرو,ماهرخ،زیبا
مهنگار	معشوقهزیبارو
مهان	منسوببهماه
مهبان	نگهبانماه
مهتاب	نورآرامماه
مهتاج	زیبایزیبایان
مهدا	آرامششب
مهدخت	دختریکهمانندماهاست
مهدیا	دخترهدایتشده
مهررخسار	آنکهصورتشچونماهزیبااست
مهرنوش	زیبا،جاویدوهمیشگی
مهراسا	مانندخورشید
مهرافروز	افروزنده‌یمهربانی،مهربان
مهرافزا	آنکهمهرومحبتبیفزاید
مهرافزون	آنکهمهرومحبتبیفزاید
مهرافشان	مهربان
مهرانا	منسوببهمهران،دارندهمهر
مهرانگیز	برانگیزاننده‌یمحبتودوستی
مهرآگین	آکندهازمحبت
مهرآمیز	دوستانه،همدل
مهرآنا	(مهر=محبتودوستی،مهربانی+آنا(ترکی)=مادر)،
مهرآور	دوستیورزنده،ابرازمحبتکننده
مهربان	دارایمحبتوعاطفه
مهربانو	بانویمهربانوبامحبت
مهرچهر	آنکهچهره‌ایمهرباندارد
مهرچین	برگزینندهمهریانور
مهرخ	آنکهدارایرخساریچونماهاست
مهرگل	آنکهدرمیانگلهاچونخورشیدمیدرخشد
مهرناز	نامخواهرکیکاووسکهویرابههمسریرستمدادهبودند،خورشیدناز
مهرنگار	خورشیدزیباروی
مهروی	ماهرو،زیبارو
مهری	منسوببهمهر
مهسان	همانندماه
مهستی	ماهخانم
مهشید	مهتاب،روشناییماه
مهفام	بهرنگماه
مهکامه	بهمجازآرزویزیباروی
مهنا	گواراوخوش
مهناز	ماهناز
مهوش	مانندماه،خوشگل
مهین	بزرگ،بزرگتر
میترا	خورشید،مظهردوستیومحبتوروشنایی
میشکا	درگویشمازندرانیبهمعنایگنجشک
میگل	زیباروی
میگل	(می=شراب+گل)،(بهمجاز)زیباومستکننده
مینا	مرغمقلد،مرغمینا؛گلیمعمولاًسفید،نوعیشیشهرنگیبهویژهسبزکهازآنانواعظروفمیسازند.
مینو	جهانمعنوی،بهشت
مینوش	نوشندهمی،مینوشنده

نادیا	زنخوشآوتزبرگشتبهلیست
ناربن	درختانار
ناردانا	ناردانه،دانهانار
ناردانه	ناردانا،دانهانار
نارگل	گلانار،آنکهچونگللطیفوزیبااست.
نارگون	همانندانار،سرخوآتش
نارمیلا	(ترکی-فارسی)شکوفه،غنچه،خصوصاشکوفهگلانار
نارنج	میوه‌ایآبداروترش،ازگونهمرکبات
نارو	پرنده‌ایخوشآوازهمانندبلبل
نارون	درختیخوشانداموپُربَرگوسایهدار
نارین	منسوببهنار،تروتازه
نارینا	منسوببهآتش
ناز	دوستداشتنی،کرشمه،نامگلیاست
نازان	فخرکننده،نازکننده
نازآفرید	آفریدهنازوزیبا
نازآفرین	مرکبازناز(زیبا)+آفرین(آفریننده)،نامهمسرفتحعلیشاهقاجار
نازبانو	بانویزیباوعشوهگر
نازبو	ریحان
نازپر	آنکهمانندپریزیباست،نامدخترپادشاهخوارزم
نازپری	آنکهمانندپریزیباست،نامدخترپادشاهخوارزم
نازجهان	موجبنازشومباهاتجهان
نازخاتون	بانویزیبا،نامدخترامیرکردستاندرزمانپادشاهایالجایتو
نازدار	آنکهرفتاریخوشایندوجذابدارد،ملوس
نازدانه	فرزندمحبوبپدرومادر،دردانه
نازدخت	دخترزیباوناز
نازدلبر	معشوقزیباوجذاب،نامدختریدرمنظومهویسورامین
نازرخ	دارایرویزیباولطیف
نازک	نازنینوزیبا
نازلی	نازدار
نازمهر	زیباچونخورشید
نازنین	دارایناز،نازکاندام،دوستداشتنی
نازیاب	یابندهناز،‌ازشخصیت‌هایشاهنامه
نازیلا	بانازوکرشمه
نافه	مادهایباعطرخوشبووپایدار
ناکتا	ناک(درگویشمازندراننوعیگلابیشیرین)+تا،شیرینمثلگلابی
نانا	پدرومادر،نعناع
نانیسا	نامروستاییدرنزدیکیمراغه
ناوه	نامروستاییدرنزدیکیخرمآباد
ناهید	آناهیتا،پاکبانو
نایریکا	برگزیدهوپسندیده
نجلا	زنیکهدارایچشماندرشتاست.
نجوا	سخنآهسته
نخستین	آغازین،اولین
نرسا	دراساطیرزوروانیهنامیکیازخدایان
نرگس	نامگلیزیبا
نساک	نامهمسرسیامکپسرکیومرثپادشاهپیشدادی
نسترن	گلیشبیهرزبهرنگهایصورتی،سفیدوزرد
نسیم	بادبسیارآرامودلپذیر
نعیما	پرنعمت،برخوردار
نغمه	آهنگیاملودی
نکوزاد	زادهنیکویی
نکویار	یارنیکو
نکیسا	نامیکیازرامشگرانونوازندگانعهدخسروپرویز
نگار	چهرهزیبا
نگارا	بانویزیبا،دخترخوشچهره،کنایهازمحبوباست.
نگاره	نقش،شکل،تصویر
نگارین	زیبا،آراسته،مزین
نگین	جواهرانگشتری
نگینا	موسیقی،آواز
نگینه	مانندنگین
نوبهار	بهار،فصلرویش
نوا	صدایموسیقی،نغمه
نوال	عطا،بخشش،بهره،نصیب
نورا	نور(عربی)+ا(فارسی)،مؤنثانوردرخشان،تابان
نورسته	جوانهتازه
نوژان	درختصنوبروکاج
نوشاد	نامشهریکهزیبارویانآنمشهوربودند
نوشین	شیرین،خوشایند،دلپذیر،گوارا،خوشگوار
نوگل	گلیکهتازهشکفتهشدهاست
نونهال	نهالتازه،درختجوان
نها	عقلوخرد(اسمقرآنی)
نهال	درختیادرختچهنورس
نیایش	دعایهمراهباتضرعوزاری
نیروانا	آخرینمرحلهسلوکدرنزد“بودا”کهمرحلهمحوشدنجنبهحیوانیوجودورسیدنبهکمالاست.
نیکا	چهخوباست،خوشا،نامرودیدرشمالایران
نیکتا	خوب،نیکوریشه
نیکچهره	اوکهدارایچهره‌اینیکوست
نیکدخت	دخترنیکوشایسته
نیکرخ	نیکرو
نیکروی	خوشصورت
نیکناز	دارایعشوهگریوزیبایی
نیکو	خوب،زیبا
نیکی	خوببودن،خوبی،نیکوکاری،احسان
نیلا	نیلبهرنگنیل،نیلی
نیلاب	مجازاآبیملایموآرامشبخش.نامقدیمشهرجندیشاپور
نیلای	ماهنیلگون
نیلرام	اسمفرشتهنگهبانبرفوبارانوتگرگ
نیلگون	بهرنگنیل،کبود،لاجوردی
نیلوفر	نامگلیاست
نیلیا	بهزنگنیلی،منسوببهنیلی،مرکبازنیلیوالفنسبت
نینا	زیبایی،خوشاندامیوظرافت
نیوشا	شنونده،یادگیرنده

وَرد	گلسرخبرگشتبهلیست
وِستا	دانش،کتابمقدسزردشتیان
واپسین	آخرین،بازپسین
واج	زمزمه
واحده	مؤنثواحد،یگانه
وادی	سرزمین،رود
وارتوش	نامگلیسرخوظریف
وارسته	آزاد
واژه	کلمه،لغت
واله	عاشق،بیقرارشیفته
واله	عاشقبیقرار،شیفتهومفتون
والیه	مؤنثوالینامدختر
وانوش	دریاچهوان،ازسمبلونمادهایتاریخارامنه
وانوشه	نامگل
وانیا	هدیهباشکوهخداوند
وانیار	باسواد
وجیهه	زیبا،خوشچهره،همچنینبهمعنایدارایقدرومنزلتنزدمردم
وچان	زماناستراحتکوتاه
وحدانه	یکییکدانه
وحیده	مؤنثوحید،یکتا،تک،بینظیر،یگانه
ورتا	نامیپهلویبهمعنیگل
ورتاج	گلیسرخرنگکههمیشهرویبهآفتابدارد.
ورجا	بلندمرتبه،ارجمند
وردآفرید	آفریدهگل
وردآور	مرکبازورد(گل)+آور(آورنده)
وردی	کوچک،ریز‏نقش
ورشان	قمری،پرنده‌ایکهدرفارسیآنرامرغالاهیمی‌گویند،کبوترصحرایی
ورقا	کبوتر،نامدرختیکوچکومعروف
ورونیکا	نامتیرهایازگیاهانکهپوپکازآندستهاست.
ورهرام	بهرام،نامستارهمریخ،نامروزبیستمازهرماهشمسیدرایرانقدیم،
وریشه	درخشش،برق
وستا	پردانش–دخترپاکدامنوبااصلونسب
